SUSE Linux,2020,2020-04,,325
Red Hat,2015,2015-09,,893
SUSE Linux,2014,2014-05,,221
Intel,2021,2021-09,,1758
Mellanox Technologies,2020,2020-08,,256
The Linux Kernel Archives,2016,2016-01,,596
SUSE Linux,2012,2012-03,,653
Texas Instruments,2021,2021-03,,165
Samsung Electronics,2020,2020-11,,87
Huawei Technologies,2012,2012-01,,114
Huawei Technologies,2016,2016-06,,229
Texas Instruments,2011,2011-03,,529
Red Hat,2015,2015-05,,1541
Nick Piggin,2010,2010-03,,209
Intel,2011,2011-04,,1825
SUSE Linux,2010,2010-04,,320
Intel,2015,2015-02,,1939
Linaro,2015,2015-02,,355
amd.com,2008,2008-06,,451
amd.com,2018,2018-12,,634
Texas Instruments,2012,2012-11,,748
The Linux Kernel Archives,2010,2010-12,,429
Huawei Technologies,2005,2005-08,,96
Red Hat,2021,2021-12,,519
Arnd Bergmann,2019,2019-11,,144
The Linux Kernel Archives,2019,2019-07,,2159
Texas Instruments,2012,2012-10,,712
Samsung Electronics,2014,2014-07,,936
amd.com,2008,2008-05,,93
Red Hat,2006,2006-01,,1634
Intel,2013,2013-06,,1301
Intel,2016,2016-09,,1820
Intel,2006,2006-01,,2536
Red Hat,2011,2011-10,,1268
Intel,2018,2018-01,,1748
Linaro,2011,2011-02,,250
Mellanox Technologies,2010,2010-03,,85
Intel,2011,2011-01,,1289
amd.com,2016,2016-10,,441
Nick Piggin,2018,2018-10,,79
Oracle,2015,2015-12,,172
Huawei Technologies,2021,2021-10,,245
Texas Instruments,2017,2017-11,,114
Intel,2013,2013-04,,1209
Red Hat,2020,2020-10,,988
Intel,2018,2018-05,,2448
Nick Piggin,2022,2022-06,,280
amd.com,2021,2021-05,,884
Mellanox Technologies,2017,2017-08,,733
Mellanox Technologies,2020,2020-02,,490
Red Hat,2019,2019-12,,899
Oracle,2016,2016-03,,310
Oracle,2010,2010-02,,175
SUSE Linux,2022,2022-07,,473
amd.com,2021,2021-03,,1006
The Linux Kernel Archives,2017,2017-10,,1009
amd.com,2008,2008-07,,1128
Oracle,2020,2020-03,,496
Intel,2019,2019-08,,1980
David M. Loft,2014,2014-09,,45
Oracle,2015,2015-11,,173
Linaro,2022,2022-01,,442
Oracle,2007,2007-09,,175
Red Hat,2009,2009-11,,1052
Texas Instruments,2020,2020-06,,461
Huawei Technologies,2006,2006-12,,630
Linaro,2013,2013-03,,813
Oracle,2008,2008-02,,272
Linaro,2012,2012-04,,844
Mellanox Technologies,2018,2018-06,,367
amd.com,2017,2017-01,,574
Amazon Lab126,2011,2011-02,,44
Huawei Technologies,2007,2007-10,,349
Intel,2022,2022-07,,1157
Intel,2020,2020-08,,1348
Red Hat,2013,2013-06,,903
Red Hat,2014,2014-11,,1179
Red Hat,2017,2017-02,,788
Linaro,2022,2022-07,,669
Intel,2008,2008-11,,826
Mellanox Technologies,2018,2018-12,,704
Intel,2016,2016-07,,1688
SUSE Linux,2015,2015-12,,240
Linaro,2018,2018-06,,731
Intel,2022,2022-02,,2375
Intel,2018,2018-07,,1491
Sony,2017,2017-06,,80
Intel,2013,2013-01,,1890
Linaro,2013,2013-08,,841
Mellanox Technologies,2021,2021-04,,405
amd.com,2020,2020-03,,795
SUSE Linux,2013,2013-11,,416
amd.com,2019,2019-06,,1257
Nick Piggin,2016,2016-02,,240
Texas Instruments,2012,2012-06,,640
Linaro,2018,2018-09,,804
Intel,2015,2015-06,,2134
David M. Loft,2018,2018-02,,8
Red Hat,2018,2018-06,,1144
Red Hat,2013,2013-05,,1378
Intel,2009,2009-04,,1122
Intel,2016,2016-03,,2506
Intel,2017,2017-08,,1767
Broadcom,2013,2013-12,,197
Linaro,2015,2015-09,,554
Intel,2006,2006-10,,1009
Huawei Technologies,2020,2020-08,,453
Samsung Electronics,2020,2020-06,,255
Red Hat,2016,2016-01,,1251
Mellanox Technologies,2018,2018-11,,678
Intel,2007,2007-02,,2070
Nick Piggin,2008,2008-02,,88
Linaro,2012,2012-07,,527
The Linux Kernel Archives,2014,2014-01,,268
SUSE Linux,2007,2007-10,,1098
The Linux Kernel Archives,2021,2021-12,,1275
Texas Instruments,2012,2012-12,,455
The Linux Kernel Archives,2017,2017-02,,2212
Samsung Electronics,2008,2008-01,,73
Texas Instruments,2022,2022-09,,32
